Id,tooltip,label,Longitud,Latitud
202,202,SUX,-96.38,42.40
203,203,PHX,-112.03,33.43
204,204,SBN,-86.32,41.70
205,205,RSW,-81.76,26.54
206,206,GEG,-117.53,47.62
207,207,SGF,-93.38,37.25
208,208,SWF,-74.02,41.50
209,209,SUN,-114.32,43.50
210,210,SYR,-76.12,43.12
211,211,PVD,-71.43,41.73
212,212,TLH,-84.35,30.40
213,213,TPA,-82.53,27.98
214,214,TOL,-83.81,41.59
215,215,ITH,-76.47,42.48
216,216,PSC,-119.12,46.26
217,217,TRI,-82.41,36.48
218,218,TUS,-110.94,32.12
219,219,TUL,-95.89,36.20
220,220,CMI,-88.28,40.03
221,221,SCE,-77.88,40.77
222,222,ALW,-118.30,46.10
223,223,IAD,-77.46,38.94
224,224,ALO,-92.38,42.55
225,225,ATY,-97.15,44.92
226,226,HPN,-73.70,41.07
227,227,LBE,-79.40,40.28
228,228,AVP,-75.72,41.34
229,229,OKC,-97.60,35.39
230,230,HOU,-95.28,29.65
231,231,ILM,-77.90,34.27
232,232,YKM,-120.53,46.57
233,233,HDN,-106.87,40.52
234,234,CRW,-81.60,38.37
